SiteReference,Site_name,Description,Town,Magisterial_district,NHRA status,Latitude,Longitude
9/2/010/0001,"BEAUFORT WEST MUNICIPAL AREA, GENERAL",,Beaufort West,Beaufort West,,,
9/2/010/0005,see 9/2/010/0009,,Beaufort West,Beaufort West,,,
9/2/010/0006,"Dutch Reformed Church Parsonage, Merweville, Beaufort West",,Beaufort West,Beaufort West,,,
9/2/010/0010,"Anglo-Boer War Blockhouse, Beaufort West",,Beaufort West,Beaufort West,,,
9/2/010/0011,"Masonic Hotel, 94 Donkin Street, Beaufort West",,Beaufort West,Beaufort West,,-32.354738,22.583435
9/2/010/0013,"Old Central High School, Beaufort West",,Beaufort West,Beaufort West,,,
9/2/010/0015,"Little Green World, 38 Donkin Street, Beaufort West",,Beaufort West,Beaufort West,,-32.347128,22.582354
9/2/010/0017,"Dutch Reformed Mission Church and Parsonage, 89/91 Donkin Street.",,Beaufort West,Beaufort West,,-32.348066,22.582474
9/2/010/0017/1,"Old Dutch Reformed Mission Church Parsonage, 91 Donkin Street,",,Beaufort West,Beaufort West,National Monument,-32.348066,22.582474
9/2/010/0019,"Pritchard Building, 92 Donkin Street, Beaufort West",,Beaufort West,Beaufort West,,-32.348058,22.582479
9/2/010/0020,"Grave of W A Arnot, Merweville, Beaufort West District",,Beaufort West,Beaufort West,,,
9/2/010/0021,"Poskoetshuis, 111 Bird Street, Beaufort West",,Beaufort West,Beaufort West,,-32.347023,22.583707
9/2/010/0022,"Beaufort West East Dutch Reformed Mission Church, Beaufort West",,Beaufort West,Beaufort West,,,
9/2/010/0023,"Christ Church complex, Donkin Street, Beaufort West",,Beaufort West,Beaufort West,,,
9/2/010/0024,"Methodist cemetery, Beaufort West",,Beaufort West,Beaufort West,,,
9/2/010/0026,"Military Cemetery, Nelspoort, Beaufort West District",,Beaufort West,Beaufort West,,,
9/2/010/0027,"BEAUFORT WEST MAGISTERIAL DISTRICT, GENERAL",,Beaufort West,Beaufort West,,,
9/2/010/0028,"Catholic Cemetery, Thompson Street, Beaufort West",,Beaufort West,Beaufort West,,,
9/2/010/0029,"Droer Rivier (Eskom Sub-station), Beaufort West District.",,Beaufort West,Beaufort West,,,
9/2/010/0030,"Hillmore, Vetkuil 332, Beaufort West District ",,Beaufort West,Beaufort West,,,
9/2/010/0031,"Guards Memorial, Farm Brak Pannen, Beaufort West District",,Beaufort West,Beaufort West,,,
9/2/010/0032,"KAROO NATIONAL PARK, BEAUFORT WEST DISTRICT",,Beaufort West,Beaufort West,,,
