SiteReference,Site_name,Description,Town,Magisterial_district,NHRA status,Latitude,Longitude
9/2/012/0029,"JOOSTENBERGVLAKTE LOCAL AREA, GENERAL",,Joostenbergvlakte,Bellville,,,
9/2/012/0028,"EDGEMEAD LOCAL AREA, GENERAL",,Edgemead,Bellville,,,
9/2/012/0027,"22 Oxford Street, Durbanville",,Durbanville,Bellville,,-33.830986,18.649776
9/2/012/0026,"Altydgedacht Farm, Durbanville ",,Durbanville,Bellville,,-33.847195,18.623671
9/2/012/0025,"Bloemhof, Bloemhof Street, Bellville",,Bellville,Bellville,,-33.881418,18.643912
9/2/012/0024,"21 Vrede Street, Durbanville",,Durbanville,Bellville,Pending Declaration,-33.900203,18.630639
9/2/012/0023,"BELLVILLE MAGISTERIAL DISTRICT, GENERAL",,Bellville,Bellville,,,
9/2/012/0022,"12 Queen Street, Durbanville",,Durbanville,Bellville,,-33.831956,18.644881
9/2/012/0021,"Evertsdal Homestead, Durban Road, Durbanville",,Durbanville,Bellville,,,
9/2/012/0019,"Police Station Church Street, Durbanville",,Durbanville,Bellville,,-33.833696,18.649073
9/2/012/0011,"Nineteenth Century Rubbish Dump, St.Vincent Street, Belhar, Bellville",,Bellville,Bellville,,,
9/2/012/0009,"PAROW MUNICIPAL AREA, GENERAL",,Parow,Bellville,,,
9/2/012/0008,"Berghshoop, Durbanville",,Durbanville,Bellville,,-33.832123,18.670327
9/2/012/0007,"Welgemoed Farmstead, Tygerberg Bellville",,Bellville,Bellville,,,
9/2/012/0006,"BELLVILLE MUNICIPAL AREA, GENERAL",,Bellville,Bellville,,,
9/2/012/0004,"46 Oxford Street, Durbanville",,Durbanville,Bellville,,-33.828784,18.645601
9/2/012/0003,"DURBANVILLE MUNICIPAL AREA, GENERAL",,Durbanville,Bellville,,,
9/2/012/0002,"20 Oxford Street, Durbanville",,Durbanville,Bellville,,-33.830878,18.650221
