SiteReference,Site_name,Description,Town,Magisterial_district,NHRA status,Latitude,Longitude
9/2/015/0001,"Caledon Hot Springs, Caledon",,Caledon,Caledon,,-34.225450,19.437152
9/2/015/0002,"GENADENDAL, CALEDON DISTRICT, GENERAL",,Genadendal,Caledon,,,
9/2/015/0003,"CALEDON MUNICIPAL AREA, GENERAL",,Caledon,Caledon,,,
9/2/015/0007,"De Villiers Graaff High School, Graaff Street, Villiersdorp, Caledon",,Villiersdorp,Caledon,Pending Declaration,-33.985459,19.291756
9/2/015/0008,"D R Vatem Hall, Van Riebeeck Street, Villiersdorp, Caledon",,Villiersdorp,Caledon,Pending Register,,
9/2/015/0009,"Combrincks Gift, D R Church Parsonage, Main Street, Villiersdorp,",,Villiersdorp,Caledon,Pending Register,,
9/2/015/0010/1,"Contents of Mission Museum, Genadendal, Caledon District",,Genadendal,Caledon,Cultural Treasure,-34.049788,19.607207
9/2/015/0010/4,"Watermill, Mission Complex, Genadendal, Caledon District",,Genadendal,Caledon,National Monument,-34.049788,19.607207
9/2/015/0012,"Court Building, Muller Street, Villiersdorp",,Villiersdorp,Caledon,Pending Declaration,,
9/2/015/0013,"cnr Worcester & Caledon Street, Grabouw",,Grabouw,Caledon,,,
9/2/015/0014,"Webb House, Palmiet river Camping site, Kleinmond",,Kleinmond,Caledon,Pending Declaration,,
9/2/015/0015,"W A J Pretorius dwelling, 28 Main Street, Villiersdorp",,Villiersdorp,Caledon,Pending Declaration,-33.991359,19.290897
9/2/015/0016,"Pretorius Family Cemetery, Farm Zeekoekraal, Villiersdorp",,Villiersdorp,Caledon,,,
9/2/015/0017,"Venster Rock, Victoria Park, Caledon",,Caledon,Caledon,National Monument,,
9/2/015/0019,"11 Berg Street, Villiersdorp",,Villiersdorp,Caledon,,-33.988644,19.288825
9/2/015/0020,"Mill Street Conservation Area, Caledon",,Caledon,Caledon,Pending Desig.,,
9/2/015/0021,"Van Doorn's House, 13 Station Road, Caledon",,Caledon,Caledon,Pending Declaration,,
9/2/015/0022,"GREYTON MUNICIPAL AREA, CALEDON DISTRICT, GENERAL",,Greyton,Caledon,,,
9/2/015/0023,"20 Mill Street, Caledon",,Caledon,Caledon,Pending Declaration,,
9/2/015/0024,"Hassner's Pyramid Tomb, Town Commonage, Caledon",,Caledon,Caledon,Pending Cons Area,,
9/2/015/0025,"3 Caledon Street, Villiersdorp",,Villiersdorp,Caledon,,-33.994421,19.295178
9/2/015/0026,"VILLIERSDORP MUNICIPAL AREA, CALEDON DISTRICT, GENERAL",,Villiersdorp,Caledon,,,
9/2/015/0028,"Zeekoekraal, Villiersdorp, Caledon District",,Villiersdorp,Caledon,,,
9/2/015/0029,"Mill Restaurant & Art Gallery, 25 Mill Street, Caledon",,Caledon,Caledon,,,
9/2/015/0030,"GRABOUW MUNICIPAL AREA, GENERAL",,Grabouw,Caledon,,,
9/2/015/0034,"Greyton Lodge, 46 Main Road, Greyton, Caledon District",,Greyton,Caledon,,-34.047460,19.611192
9/2/015/0035,"Rock Martin Shelter, Kanonberg, Caledon District",,Kanonberg,Caledon,,,
9/2/015/0037,"KLEINMOND MUNICIPAL AREA, CALEDON DISTRICT, GENERAL",,Kleinmond,Caledon,,,
9/2/015/0039,"1 Caledon Street, Villiersdorp, Caledon District",,Caledon,Caledon,,-33.994478,19.294884
9/2/015/0040,"CALEDON MAGISTERIAL DISTRICT, GENERAL",,Caledon,Caledon,,,
9/2/015/0041,"Wolwekloof, Caledon District",,Caledon,Caledon,Pending Declaration,,
9/2/015/0042,"Radyn, Caledon District",,Caledon,Caledon,Pending Declaration,,
9/2/015/0043,"BETTY'S BAY MUNICIPAL AREA, CALEDON DISTRICT, GENERAL",,Betty's Bay,Caledon,,,
9/2/015/0044,"Caledon Museum, 11 constitution Street, Caledon",,Caledon,Caledon,,-34.229769,19.429820
9/2/015/0045,"""Sterhuis"", Ou Werf, Caledon District",,Caledon,Caledon,,,
9/2/015/0046,"Scandinavian Timber House, Elgin, Caledon District",,Elgin,Caledon,,,
9/2/015/0047,"RIVIERSONDEREND MUNICIPAL AREA, GENERAL",,Riviersonderend,Caledon,,,
9/2/015/0048,"Compagnes Drift, Bot River, Caledon District",,Bot River,Caledon,,-34.226701,19.206099
9/2/015/0049,"The Oaks, Farm 145, Caledon District ",,Caledon,Caledon,,-34.095355,19.695410
9/2/015/0050,"MYDDLETON LOCAL AREA, GENERAL",,Myddleton,Caledon,,,
9/2/015/0051,"Stony Point, Betty’s Bay, Caledon District ",,Betty's Bay,Caledon,,-34.371444,18.892971
9/2/015/0052,"Drayton, Caledon District",,Caledon,Caledon,,-34.225834,19.532521
9/2/015/0053,"Teslaarsdal, Caledon District ",,Caledon,Caledon,,,
