SiteReference,Site_name,Description,Town,Magisterial_district,NHRA status,Latitude,Longitude
9/2/018/0031,"Semi-detached houses, Hanover Road, Fresnaye, Cape Town",,,Cape Town,,,
9/2/018/0031/01,"""Dotsville"" Hanover Road, Fresnaye, Erf 301, Cape Town",,,Cape Town,,,
9/2/018/0031/02,"Stanley Cottage, Hanover Road, Fresnaye, Erf 302, Cape Town",,,Cape Town,,,
9/2/018/0034/01/03,"Old Electric Power and lighting station, Pierhead Precinct, Victoria and Waterfront",,,Cape Town,,,
9/2/018/0034/02,"Portswood Precinct, Victoria and Alfred Waterfront, Granger Bay, Cape Town",,,Cape Town,,,
9/2/018/0034/02/01,"The Moorings, No 6, Erf 15, Off Portswood Road, Victoria and Alfred",,,Cape Town,,,
9/2/018/0034/02/02,"Hostel Kitchen, Erf 15, Off Portswood Road, Victoria and Alfred",,,Cape Town,,,
9/2/018/0034/02/03,"The Moorings, Erf 15, Off Portswood Road, Victoria and Alfred",,,Cape Town,,,
9/2/018/0034/02/04,"Treadmill, Erf 15, Off Portswood Road, Victoria and Alfred",,,Cape Town,,,
9/2/018/0034/02/05,"Labourer's Hostel, Erf 15, Portswood Road, Victoria and Alfred",,,Cape Town,,,
9/2/018/0034/02/07,"Ulundi Dwelling, Erf 1, Portswood Road, Victoria and Alfred",,,Cape Town,,,
9/2/018/0034/02/08,"Dockhouse, No1 and 2 Erf 1, The Ridge, Victoria and Alfred",,,Cape Town,prov decl 1991-1997,,
9/2/018/0034/02/09,"Production Control Office, Erf 1, The Ridge, Victoria and Alfred",,,Cape Town,,,
9/2/018/0034/02/10,"Embankment & Tunnel, Erf 1, The Ridge, Victoria and Alfred Waterfront,",,,Cape Town,,,
9/2/018/0034/02/11,"The Moorings, Gateway & Boundary Wall, Erf 16, Portswood Road,",,,Cape Town,,,
9/2/018/0034/02/12,"Windermere, The Moorings No 10, Quarry Road, Victoria and Alfred",,,Cape Town,,,
9/2/018/0034/02/13,"The Moorings No 5, Erf 1, Quarry Road, Victoria and Alfred",,,Cape Town,,,
9/2/018/0034/02/14,"The Moorings No 2 & 3, Erven 1 & 16, Off Portswood Road, Victoria and ",,,Cape Town,,,
9/2/018/0034/02/15,"The Moorings No 1, Erven 1 & 16, Off Portswood Road, Victoria & Alfred",,,Cape Town,,,
9/2/018/0034/02/16,"Garages, Erf 16, Off Portwood Road, Victoria and Alfred Waterfront,",,,Cape Town,,,
9/2/018/0034/02/17,"Breakwater Prison, Erf 14, Cape Town",,,Cape Town,,,
9/2/018/0034/02/18,"Time Ball Tower, Victoria and Alfred Waterfront, Cape Town",,,Cape Town,,,
9/2/018/0034/03,"New Basin Precinct, Victoria & Alfred Waterfront, Granger Bay, Cape",,,Cape Town,,,
9/2/018/0034/04,"Gateway Precinct, Victoria & Alfred Waterfront, Cape Town",,,Cape Town,,,
9/2/018/0034/05,"South Arm, V&A Waterfront, Cape Town",,,Cape Town,,,
9/2/018/0034/06,"Granger Bay, V & A Waterfront, Cape Town",,,Cape Town,,,
9/2/018/0034/07,"Breakwater Precinct, Victoria and Alfred Waterfront, Cape Town",,,Cape Town,,,
9/2/018/0034/09,"Upper Basin Precinct, V& A Waterfront/ Marina",,,Cape Town,,,
9/2/018/0038,"Block bounded by Loop, Prestwich, Long and Riebeeck Streets, Cape Town",,,Cape Town,,,
9/2/018/0042/1,"Old organ, St Stephen's Church, Riebeeck Square Cape Town",,,Cape Town,,,
9/2/018/0043,"CAPE TOWN MUNICIPAL AREA, GENERAL",,,Cape Town,,,
