SiteReference,Site_name,Description,Town,Magisterial_district,NHRA status,Latitude,Longitude
9/2/018/0004/02,"Robben Island Lighthouse, Robben Island",,,Cape Town,,,
9/2/018/0004/04,"Millennium facility, Robben Island",,,Cape Town,,,
9/2/018/0004/05,"Robben Island, IEM System, Robben Island",,,Cape Town,,,
9/2/018/0006,see 9/2/018/0256/1,,,Cape Town,,,
9/2/018/0010/01 ,"Bungalow 97, The Ridge, Clifton, Cape Town",,,Cape Town,,,
9/2/018/0010/02 ,"Bungalow 25, Clifton, Cape Town",,,Cape Town,,,
9/2/018/0010/03,"Bungalow 61, Clifton, Cape Town",,,Cape Town,,,
9/2/018/0010/04,"Bungalow 64, Clifton, Cape Town",,,Cape Town,,,
9/2/018/0010/05,"Bungalow 14, Glen Beach, Cape Town",,,Cape Town,,,
9/2/018/0010/06,"Bungalow 76, Clifton, Cape Town",,,Cape Town,,,
9/2/018/0010/07,"Bungalow 58, Clifton, Cape Town",,,Cape Town,,,
9/2/018/0010/08,"Bungalow 31, Bakoven, Cape Town",,,Cape Town,,,
9/2/018/0010/09,"Bungalow 2, Glen Beach, Cape Town",,,Cape Town,,,
9/2/018/0010/10,"Bungalow 42, Clifton, Cape Town",,,Cape Town,,,
9/2/018/0010/11,"Bungalow 1, Glen Beach, Cape Town",,,Cape Town,,,
9/2/018/0010/13,"Bungalow 8, Second Beach, Clifton, Cape Town",,,Cape Town,,,
9/2/018/0010/14,"Bungalow 71, Clifton, Cape Town",,,Cape Town,,,
9/2/018/0010/15,"Bungalow 8, Beta Road, Bakoven, Cape Town",,,Cape Town,,,
9/2/018/0010/16,"Bungalow 91, The Ridge, Clifton, Cape Town",,,Cape Town,,,
9/2/018/0010/17,"Bungalow 2, First Beach, Clifton, Cape Town",,,Cape Town,,,
9/2/018/0010/18,"Bungalow 7, Beta Road, Bakoven, Cape Town",,,Cape Town,,,
9/2/018/0010/19,"Bungalow 5, Glen Beach, Cape Town",,,Cape Town,,,
9/2/018/0010/20,"Bungalow 11, Beta Road, Bakoven, Cape Town",,,Cape Town,,,
9/2/018/0010/21,"Bungalow 23, Beta Road, Bakoven, Cape Town",,,Cape Town,,,
9/2/018/0010/22,"Bungalow 94, The Ridge, Fourth Beach, Clifton, Cape Town",,,Cape Town,,,
9/2/018/0010/23,"Bungalow 30, Clifton, Cape Town",,,Cape Town,,,
9/2/018/0010/24,"Bungalow 10, Bakoven, Cape Town",,,Cape Town,,,
9/2/018/0010/25,"Bungalow 15, Bakoven, Cape Town",,,Cape Town,,,
9/2/018/0010/26,"Bungalow 54, Fourth Beach, Clifton, Cape Town",,,Cape Town,,,
9/2/018/0010/27,"Bungalow 73, Fourth Beach, Clifton, Cape Town",,,Cape Town,,,
9/2/018/0010/28,"Bungalow 35, Third Beach, Clifton, Cape Town",,,Cape Town,,,
9/2/018/0010/29,"Bungalow 14, Beta Road, Bakoven, Cape Town",,,Cape Town,,,
9/2/018/0010/30,"Bungalow 27, Third Beach, Clifton, Cape Town",,,Cape Town,,,
9/2/018/0010/31,"Bungalow 13, Bakoven, Cape Town",,,Cape Town,,,
