SiteReference,Site_name,Description,Town,Magisterial_district,NHRA status,Latitude,Longitude
9/2/022/0001,Boontjieskloof Farm Clanwilliam District,,Clanwilliam,Clanwilliam,,,
9/2/022/0002,"CLANWILLIAM MUNICIPAL AREA, GENERAL",,Clanwilliam,Clanwilliam,,,
9/2/022/0003,"Caleta Cove, Clanwilliam",,Clanwilliam,Clanwilliam,,,
9/2/022/0004,"British Graves, Lamberts Bay, Clanwilliam",,Lamberts Bay,Clanwilliam,,,
9/2/022/0007,"Sandveld cottage, Thee Rivier, Clanwilliam District (Pending N M)",,Clanwilliam,Clanwilliam,,,
9/2/022/0008,"Cederberg Wildernis area, Clanwilliam District",,Clanwilliam,Clanwilliam,,,
9/2/022/0009,"Steenbokfontein, Clanwilliam District",,Clanwilliam,Clanwilliam,,-32.167939, 18.314681
9/2/022/0010/1,"Graves, St John's Anglican Church, Main Street, Clanwilliam",,Clanwilliam,Clanwilliam,,-32.175930,18.892660
9/2/022/0017,"Anglo-Boer War blockhouse, Cederberg, Clanwilliam District (Pending N M)",,Clanwilliam,Clanwilliam,,,
9/2/022/0018,"Kromme Rivier, Clanwilliam District",,Clanwilliam,Clanwilliam,,,
9/2/022/0019,"WUPPERTHAL, CLANWILLIAM DISTRICT, GENERAL",,Wupperthal,Clanwilliam,,,
9/2/022/0020,"Longkloof, Clanwilliam District",,Clanwilliam,Clanwilliam,,,
9/2/022/0021,"Grave of Lt Clowes, Pakhuis Pass, Clanwilliam District",,Clanwilliam,Clanwilliam,,,
9/2/022/0022,"Doorspring, Clanwilliam District",,Clanwilliam,Clanwilliam,,-32.005035, 18.305856
9/2/022/0023,"C Louis Leipoldt rock shelter, Pakhuis Pass, Clanwilliam District",,Clanwilliam,Clanwilliam,,,
9/2/022/0024,CLANWILLIAM MAGISTERIAL DISTRICT GENERAL,,Clanwilliam,Clanwilliam,,,
9/2/022/0024/01,"Archaeological Site, Clanwilliam District.",,Clanwilliam,Clanwilliam,,,
9/2/022/0026,"Mission Station, Wupperthal, Clanwilliam District (Conservation area)",,Wupperthal,Clanwilliam,,-32.238519, 19.195682
9/2/022/0027,"Matjiesrivier Farm, Clanwilliam District",,Clanwilliam,Clanwilliam,,,
9/2/022/0028,"Lorraine, Clanwilliam District",,Clanwilliam,Clanwilliam,,,
9/2/022/0029,"LAMBERTS BAY MUNICIPAL AREA, GENERAL",,Lamberts Bay,Clanwilliam,,,
9/2/022/0031,"Kriedouwkrans Rock Paintings, Clanwilliam District",,Clanwilliam,Clanwilliam,,,
9/2/022/0032,"Rock Art Sites in Oliphants River Valley, Clanwilliam Dist",,Clanwilliam,Clanwilliam,,,
9/2/022/0033,"Rock Shelters, Kleinfontein Farm, Clanwilliam Dist",,Clanwilliam,Clanwilliam,,,
9/2/022/0034,"Military Graves, Farm Bodam, Clanwilliam District (War graves)",,Clanwilliam,Clanwilliam,,,
9/2/022/0035,"SEDERVILLE LOCAL AREA, GENERAL, CLANWILLIAM DISTRICT",,Clanwilliam,Clanwilliam,,,
9/2/022/0036,CITRUSDAL MUNICIPAL AREA GENERAL,,Clanwilliam,Clanwilliam,,,
9/2/022/0037,"Heerenlogement, Graafwater, Clanwilliam District",,Clanwilliam,Clanwilliam,Provincial Heritage Site,-31.961755, 18.549668
9/2/022/0038,"The Baths, Farm no 496, Citrusdal, Clanwilliam District",,Citrusdal,Clanwilliam,,-32.585099, 19.011325
