SiteReference,Site_name,Description,Town,Magisterial_district,NHRA status,Latitude,Longitude
9/2/700,SHIPWRECKS GENERAL,,,,,,
9/2/114/0001,"MITCHELLS PLAIN MAGISTERIAL DISTRICT, GENERAL",,,,,,
9/2/113/0003,"PRINCE EDWARD ISLAND, GENERAL",,,,,-46.630859, 37.941252
9/2/113/0002,"MARION ISLAND, GENERAL",,,,,-46.903521, 37.763765
9/2/113/0001,"PRINCE EDWARD ISLAND GROUP, GENERAL",,,,,-46.630859, 37.941252
9/2/112/0012,"Tiger Oats Complex, Moorreesburg Dist",,Moorreesburg,Moorreesburg,,,
9/2/112/0011,"Old School Building, Church Street, Moorreesburg",,Moorreesburg,Moorreesburg,,,
9/2/112/0009,"Tontelberg, Moorreesburg District",,Moorreesburg,Moorreesburg,,,
9/2/112/0008,"Klipvlei, Moorreesburg",,Moorreesburg,Moorreesburg,,-33.146309, 18.665994
9/2/112/0007,"20 Railway Street, Moorreesburg",,Moorreesburg,Moorreesburg,,-33.153741, 18.669430
9/2/112/0006,"Railway Station, Railway Street, Moorreesburg",,Moorreesburg,Moorreesburg,,-33.152205, 18.670253
9/2/112/0005,"Town Hall, Church Street, Moorreesburg",,Moorreesburg,Moorreesburg,National Monument,-33.153304, 18.662686
9/2/112/0002,"MOORREESBURG MUNICIPAL AREA, GENERAL",,Moorreesburg,Moorreesburg,,,
9/2/112/0001,"MOORREESBURG DISTRICT, GENERAL",,Moorreesburg,Moorreesburg,,,
9/2/106/0023,"""Gawie se Water"", Wit River Dam, Bains Kloof, Wellington District",,Bain's Kloof,Wellington,,-33.544023, 19.171237
9/2/106/0022,"Slangrivier Homestead, Wellington District",,Wellington,Wellington,,-33.610886, 19.037249
9/2/106/0021,"WELLINGTON MAGISTERIAL DISTRICT, GENERAL",,Wellington,Wellington,,,
9/2/106/0020/2,"House Bliss, Huguenot College Complex, Wellington",,Wellington,Wellington,,-33.636905, 19.009986
9/2/106/0020/1,"Goodnow Hall, Huguenot College, Wellington",,Wellington,Wellington,National Monument,-33.636905, 19.009986
9/2/106/0019,"Victoria Jubilee Park, Church Street, Wellington",,Wellington,Wellington,National Monument,,
9/2/106/0010,"Anglo-Boer War blockhouse, Hermon, Wellington District",,Hermon,Wellington,,,
9/2/106/0009,"WELLINGTON MUNICIPAL AREA, GENERAL",,Wellington,Wellington,,,
