SiteReference,Site_name,Description,Town,Magisterial_district,NHRA status,Latitude,Longitude
9/2/064/0001,"MOSSEL BAY MUNICIPAL AREA, GENERAL",,Mossel Bay,Mossel Bay,,,
9/2/064/0002,"20-22 Upper Cross Street, Mossel Bay",,Mossel Bay,Mossel Bay,,-34.183911, 22.152116
9/2/064/0004,"66 Montagu Street, Mossel Bay",,Mossel Bay,Mossel Bay,National Monument,-34.184215, 22.147117
9/2/064/0005,"46 Upper Cross Street, Mossel Bay",,Mossel Bay,Mossel Bay,,-34.183669, 22.148893
9/2/064/0007,"St Thomas Church, 28 Marsh Street, Mossel Bay",,Mossel Bay,Mossel Bay,Pending Declaration,-34.183256, 22.150304
9/2/064/0008,"Cape St Blaize Lighthouse, Mossel Bay District",,Mossel Bay,Mossel Bay,,-34.186224, 22.156320
9/2/064/0009,"24 Montagu Street, Mossel Bay",,Mossel Bay,Mossel Bay,,-34.184423, 22.151428
9/2/064/0011,"84 Hill Street, Mossel Bay",,Mossel Bay,Mossel Bay,Pending Declaration,-34.185134, 22.145298
9/2/064/0012,"Ochre Building, Church Street, Mossel Bay",,Mossel Bay,Mossel Bay,,,
9/2/064/0013,"14 Queen Street, Mossel Bay",,Mossel Bay,Mossel Bay,,-34.183582, 22.146908
9/2/064/0014,"Old Municipal Cemetery, Mossel Bay",,Mossel Bay,Mossel Bay,,-34.187036, 22.119894
9/2/064/0015,"GREAT BRAK RIVER MUNICIPAL AREA, MOSSEL BAY DISTRICT, GENERAL",,Mossel Bay,Mossel Bay,,,
9/2/064/0017,"Prince Vincent & Co building, 86 Bland Street, Mossel Bay",,Mossel Bay,Mossel Bay,National Monument,-34.181620, 22.143369
9/2/064/0018,"LITTLE BRAK RIVER MUNICIPAL AREA, MOSSEL BAY DISTRICT, GENERAL",,Mossel Bay,Mossel Bay,,,
9/2/064/0019,"31 Marsh Street, Mossel Bay",,Mossel Bay,Mossel Bay,,-34.182588, 22.150222
9/2/064/0020,"52 & 54 Bland Street, Mossel Bay",,Mossel Bay,Mossel Bay,,-34.181746, 22.149894
9/2/064/0021,"Dutch Reformed Church, Friemersheim, Great Brak River",,Mossel Bay,Mossel Bay,,-34.050073, 22.214729
9/2/064/0022,"HERBERTSDALE MUNICIPAL AREA, MOSSEL BAY DISTRICT, GENERAL",,Mossel Bay,Mossel Bay,,,
9/2/064/0023,"Park House, 118 Montagu Street, Mossel Bay",,Mossel Bay,Mossel Bay,,-34.183739, 22.141354
9/2/064/0024,"38 Marsh Street, Mossel Bay",,Mossel Bay,Mossel Bay,,-34.183995, 22.154436
9/2/064/0025,"HARTENBOS MUNICIPAL AREA, MOSSEL BAY DISTRICT, GENERAL",,Mossel Bay,Mossel Bay,,,
9/2/064/0030,"MOSSEL BAY MAGISTERIAL DISTRICT, GENERAL",,Mossel Bay,Mossel Bay,,,
9/2/064/0031,"Gourits River Bridge, Mossel Bay District",,Mossel Bay,Mossel Bay,,-34.186043, 21.753164
9/2/064/0032,"15 Meyer Street, Mossel Bay",,Mossel Bay,Mossel Bay,,-34.183360, 22.146364
9/2/064/0033,"Methodist Church Complex, Queen Street, Mossel Bay",,Mossel Bay,Mossel Bay,,-34.183294, 22.147092
9/2/064/0034,"Military Grave, Farm Brandwacht, Mossel Bay District",,Mossel Bay,Mossel Bay,,,
9/2/064/0035,"Burial Site, Voelvlei, Mossel Bay District",,Mossel Bay,Mossel Bay,,,
9/2/064/0036,"Burial Site, Nestle Factory, Voorbaai Mossel Bay Dist",,Mossel Bay,Mossel Bay,,,
9/2/064/0038,"TARKA LOCAL AREA, GENERAL",,Mossel Bay,Mossel Bay,,,
9/2/064/0039,"Friemersheim (near Great Brak Municipal Area), Mossel Bay District",,Mossel Bay,Mossel Bay,,-33.959865, 22.137428
9/2/022/0039,GRAAFWATER LOCAL AREA GENERAL,,Graafwater,George,,,
9/2/030/0001,"Farmhouse, Eensaamheid, Langkloof, Noll, George District",,George,George,,,
9/2/030/0002,"GEORGE MUNICIPAL AREA, GENERAL",,George,George,,,
9/2/030/0003,"The Tree of Meetings, Mission Street, Pacaltsdorp, George District",,Pacaltsdorp,George,,,
9/2/030/0004,"Old Cemetery, Kloof Street, Pacaltsdorp, George District",,Pacaltsdorp,George,,,
9/2/030/0005,"The Board House, Church Street, Pacaltsdorp, District",,Pacaltsdorp,George,,,
9/2/030/0006,"Mission School, Church Street, Pacaltsdorp, George District",,Pacaltsdorp,George,,,
9/2/030/0007/02,"Rev Pacalt’s Cottage, Mission Street, Pacaltsdorp, George District",,Pacaltsdorp,George,,,
9/2/030/0007/03,"Old London Mission Society Church, Mission Street, Pacaltsdorp, George District",,Pacaltsdorp,George,,,
9/2/030/0007/1,"Old Parsonage, Mission Street, Pacaltsdorp, George District",,Pacaltsdorp,George,,,
9/2/030/0008,"Old Baptist Church, Meade Street, George",,George,George,,,
9/2/030/0009/01,"Old Hotel, Montagu Pass, George District",,George,George,Pending Provincial Declaration,,
9/2/030/0009/04,"Montagu Pass Road, Montagu Pass, George Dist",,George,George,,-33.894801, 22.420357
9/2/030/0011,"Eikenhof, Courtenay Street, George",,George,George,,,
9/2/030/0013,"Silviculturist Dwelling, Beervlei Forest Reserve, George District",,George,George,,,
9/2/030/0014,"Silviculturist Dwelling, Groenkop Forest Reserve, Saasveld, George",,George,George,,,
9/2/030/0015,"Meade House, 91 Meade Street, George",,George,George,,-33.962523, 22.457712
9/2/030/0019,"St Peter & St Paul's Roman Catholic Church, Mead Street, George",,George,George,,,
9/2/030/0020,"Seven-day Adventist Church, 47 Market Street, George",,George,George,,-33.963131, 22.460228
9/2/030/0022,"Oakhurst, Hoekwil, George District",,George,George,,-33.958525, 22.461113
9/2/030/0023/01,"Outeniqua Cableway, Cradock Pass, George District",,George,George,,,
9/2/030/0024,"Oorskotjie, York Street, George",,George,George,,,
9/2/030/0025,"Outeniqua Pass, George District",,George,George,,,
9/2/030/0026,"127 York Street, George",,George,George,,-33.955819, 22.458073
9/2/030/0029,"PACALTSDORP LOCAL AREA, GENERAL ",,Pacaltsdorp,George,,,
9/2/030/0035,"Ralsons, 48 Hibernia Street, George",,George,George,,-33.961189, 22.461751
9/2/030/0036,"Barn complex, Wilderness, George District",,Wilderness,George,,,
9/2/030/0037,"GEORGE MAGISTERIAL DISTRICT, GENERAL",,George,George,,,
9/2/030/0039,WILDERNESS LOCAL AREA,,Wilderness,George,,,
9/2/030/0040,"St. Marks Anglican Cathedral, York Street, George",,George,George,,-33.957620, 22.458339
9/2/030/0040/01,St. Marks Anglican Cathedral Cemetery,,George,George,,-33.957620, 22.458339
9/2/030/0041,"Riversyde, 2 Lang Street, George",,George,George,,-33.980605, 22.444244
