SiteReference,Site_name,Description,Town,Magisterial_district,NHRA status,Latitude,Longitude
9/2/052/0002,"Old Rectory, Plettenberg Bay, Knysna District",,Plettenberg Bay,Knysna,,,
9/2/052/0004,"Silviculturist Dwelling, Goldfield Forest Reserve, Homtini, Knysna",,Homtini,Knysna,,,
9/2/052/0005,"Silviculturist Dwelling, Witfontein Forest Reserve, Outeniqua, Knysna",,Outeniqua,Knysna,,,
9/2/052/0007,"Silviculturist Dwelling, Knysna",,Knysna,Knysna,,,
9/2/052/0008,"Silviculturist Dwelling, Concordia, Knysna District",,Concordia,Knysna,,,
9/2/052/0009,"Silviculturist Dwelling, Diepwalle, Knysna District",,Diepwalle,Knysna,,,
9/2/052/0010,"Silviculturist Dwelling, Harkerville, Knysna District",,Harkerville,Knysna,,,
9/2/052/0011,"Silviculturist Dwelling, Farleigh, Knysna District",,Farleigh,Knysna,,,
9/2/052/0012,"Wall Painting, Farleigh Office, Knysna",,Farleigh,Knysna,,,
9/2/052/0013,"Silviculturist Dwelling, Plettenberg Bay, Knysna District",,Plettenberg Bay,Knysna,,,
9/2/052/0014/01,"Old School, Erven 79 & 80, Belvidere, Knysna ",,Belvidere,Knysna,,,
9/2/052/0015,"George Rex Mace, Knysna",,Knysna,Knysna,,,
9/2/052/0017,"Griqua Dwelling, Jackalskraal, Kranshoek, Knysna District",,Kranshoek,Knysna,National Monument,,
9/2/052/0018,"School Building, Kranshoek, Knysna District",,Kranshoek,Knysna,Pending Declaration,,
9/2/052/0019,"Griqua Independent Church of South Africa, Kranshoek, Knysna District",,Kranshoek,Knysna,,,
9/2/052/0020,"KNYSNA MUNICIPAL AREA, GENERAL",,Knysna,Knysna,,,
9/2/052/0022,"Knysna Heads, Knysna",,Knysna,Knysna,,-34.074182, 23.063914
9/2/052/0022/3,"Erf 2238, Eastern Head, Knysna",,Knysna,Knysna,,,
9/2/052/0022/4,"Erf 1404, Knysna Heads, Knysna",,Knysna,Knysna,,,
9/2/052/0022/5,"Erf 4869, Knysna Heads, Knysna",,Knysna,Knysna,,,
9/2/052/0023,"PLETTENBERG BAY MUNICIPAL AREA, KNYSNA DISTRICT, GENERAL",,Plettenberg Bay,Knysna,,,
9/2/052/0024,"Settlement of the survivors of the Sao Gonzalo, Plettenberg Bay",,Plettenberg Bay,Knysna,,,
9/2/052/0025,"George Rex Slipway, Farm Westford, Knysna",,Knysna,Knysna,,,
9/2/052/0028,"Formosa Cottage, Plettenberg Bay, Knysna District",,Plettenberg Bay,Knysna,,,
9/2/052/0031,"Hillview, Plettenberg Bay, Knysna District",,Plettenberg Bay,Knysna,,,
9/2/052/0033,"Grave of George Rex, Knysna",,Knysna,Knysna,,,
9/2/052/0035,"Silviculturist Dwelling, Kaffirkop, Knysna District",,Knysna,Knysna,,,
9/2/052/0036,"WITTEDRIFT VILLAGE, KNYSNA DISTRICT, GENERAL",,Knysna,Knysna,,,
9/2/052/0037,"Pledge Nature Reserve, Knysna",,Knysna,Knysna,,-34.029573, 23.042924
9/2/052/0038,"A A S le Fleur Monument, Monument Street, Kranshoek, Plettenberg Bay",,Plettenberg Bay,Knysna,,,
9/2/052/0039,"Grave of A A S le Fleur, Plettenberg Bay",,Plettenberg Bay,Knysna,,,
9/2/052/0040,"Thesen's Island, Knysna",,Knysna,Knysna,,-34.045354, 23.048259
9/2/052/0041,"The Queen's Warehouse, Long Street, Knysna",,Knysna,Knysna,,,
9/2/052/0042,"Knysna Quays Development, Knysna",,Knysna,Knysna,,-34.040547, 23.044943
9/2/052/0043,"KNYSNA MAGISTERIAL DISTRICT, GENERAL",,Knysna,Knysna,,,
9/2/052/0044,"Railway Station Building, Rex Street, Knysna",,Knysna,Knysna,,,
9/2/052/0045,"KRANSHOEK LOCAL AREA, GENERAL",,Kranshoek,Knysna,,,
9/2/052/0046,"BELVIDERE LOCAL AREA, GENERAL",,Belvidere,Knysna,,,
9/2/052/0047,"East Guanogat Cave, Robberg Peninsula, Plettenberg Bay",,Plettenberg Bay,Knysna,,,
9/2/052/0048,"Westford, Farm 191, Knysna District",,Knysna,Knysna,,,
