SiteReference,Site_name,Description,Town,Magisterial_district,NHRA status,Latitude,Longitude
9/2/068/0037,"DE RUST LOCAL AREA, GENERAL",,De Rust,Paarl,,,
9/2/069/0001,"Dal Josafat, Paarl District (SAHRA owned)",,Paarl,Paarl,,-33.700011, 19.016634
9/2/069/0001/4,see 9/2/069/0052,,Paarl,Paarl,National Monument,,
9/2/069/0002,"PAARL MUNICIPAL AREA, GENERAL",,Paarl,Paarl,National Monument,,
9/2/069/0005,"232 Main Street, Paarl",,Paarl,Paarl,National Monument,-33.739392, 18.962644
9/2/069/0011,"The Huguenot Monument and Memorial Museum Complex, Franschhoek,Paarl",,Franschhoek,Paarl,National Monument,-33.913666, 19.124475
9/2/069/0014,"FRANSCHHOEK MUNICIPAL AREA, PAARL DISTRICT, GENERAL",,Franschhoek,Paarl,National Monument,,
9/2/069/0015,"Old Post Office & old gaol, 227/227A Main Street, Paarl",,Paarl,Paarl,,-33.739573, 18.962648
9/2/069/0016,"Eendevlei Farm, Paarl District",,Paarl,Paarl,Pending Register,,
9/2/069/0018,"School complex, Simondium, Paarl District",,Paarl,Paarl,National Monument,-33.840968, 18.959952
9/2/069/0022,"Kleinbosch, Dal Josafat, Paarl",,Paarl,Paarl,National Monument,-33.691547, 19.024838
9/2/069/0024,"Windmill, Rhebokskloof, Paarl District",,Paarl,Paarl,National Monument,,
9/2/069/0025,"Mooikelder Farm, Paarl District",,Paarl,Paarl,,-33.686178, 18.949457
9/2/069/0029,"Fredericksburg, Drakenstein, Franschhoek District",,Franschhoek,Paarl,National Monument,,
9/2/069/0030,"Boekenhoutskloof, Franschhoek, Paarl District  ",,Franschhoek,Paarl,,-33.942657, 19.107876
9/2/069/0031,"Laborie, Main Street, Paarl",,Paarl,Paarl,,-33.765275, 18.957727
9/2/069/0033,"96 Main Street, Paarl",,Paarl,Paarl,National Monument,-33.749794, 18.961807
9/2/069/0036,"Swiss Farm Excelsior, Paarl District",,Paarl,Paarl,National Monument,,
9/2/069/0038,"427 Main Street, Paarl",,Paarl,Paarl,National Monument,-33.724110, 18.964046
9/2/069/0040,"Patriot Building, 223-227 Main Street, Paarl",,Paarl,Paarl,National Monument,-33.741448, 18.962863
9/2/069/0042,"L'Ormarins, Groot Drakenstein, Paarl District",,Paarl,Paarl,National Monument,-33.872313, 18.998810
9/2/069/0043,"37 Berg Street, Franschhoek, Paarl District",,Franschhoek,Paarl,,-33.913397, 19.120015
9/2/069/0045,"La Rochelle Hostel, Academy Street, Franschhoek, Paarl District",,Franschhoek,Paarl,National Monument,-33.910290, 19.122081
9/2/069/0048,"Meerlust, Paarl",,Paarl,Paarl,Provincial Monument,-34.017003, 18.757097
9/2/069/0049,"13 Parsonage Street, Paarl",,Paarl,Paarl,,-33.733795, 18.963671
9/2/069/0050,"Keerweder, Franschhoek, Paarl district",,Paarl,Paarl,Pending Register,,
9/2/069/0051,"1 Theron Street, Paarl",,Paarl,Paarl,,-33.745472, 18.961108
9/2/069/0054,"511 Main Street, Paarl",,Paarl,Paarl,National Monument,-33.714513, 18.963267
9/2/069/0055,"15 Plein Street, Paarl",,Paarl,Paarl,,-33.726572, 18.960657
9/2/069/0056,"Plaisir de Merle, Simodium, Paarl District",,Paarl,Paarl,,-33.834152, 18.954416
9/2/069/0058,"5 Dirkie Uys Street, Franschhoek, Paarl District",,Franschhoek,Paarl,National Monument,-33.912949, 19.123066
9/2/069/0060,"Les Chenes, Paarl District",,Franschhoek,Paarl,National Monument,,
9/2/069/0061,"Cabriere, Klip Street, Franschhoek, Paarl District",,Franschhoek,Paarl,,,
9/2/069/0063,"66 Huguenot Street, Franschhoek",,Franschhoek,Paarl,National Monument,-33.908453, 19.117438
9/2/069/0064,"Klein Cabriere, Cabriere Street, Franschhoek",,Franschhoek,Paarl,,-33.911155, 19.116375
9/2/069/0065,"44-50 Huguenot Street, Franschhoek",,Franschhoek,Paarl,,-33.910241, 19.118891
9/2/069/0066,"Zomerlust, 193 Main Street, Paarl",,Paarl,Paarl,,-33.742874, 18.963450
9/2/069/0067,"Goede Hoop, Groot Drakenstein, Paarl District",,Paarl,Paarl,,,
9/2/069/0069/01,"Grave of DS Marais, Strooidakkerk Cemetery, Paarl",,Paarl,Paarl,National Monument,,
9/2/069/0070,"La Terra De Luc, Paarl District",,Paarl,Paarl,,-33.899034, 19.104354
9/2/069/0077/1,"La Motte cemetery, Paarl District",,Paarl,Paarl,Plaque,,
9/2/069/0098,"189 & 191 Main Street, Paarl",,Paarl,Paarl,National Monument,-33.743407, 18.962303
9/2/069/0136,"Oude Kelder, Bo La Motte, Paarl District",,Paarl,Paarl,National Monument,,
9/2/069/0140,"Taalmonument, Paarlberg, Paarl",,Paarl,Paarl,National Monument,-33.766126, 18.943261
9/2/069/0142,"Jewish cemetery, Paarl",,Paarl,Paarl,National Monument,,
9/2/069/0143,"La Garomme Beacon, Paarl District",,Paarl,Paarl,,,
9/2/069/0144,"Zondernaam, Groot Drakenstein, Paarl District",,Paarl,Paarl,,,
9/2/069/0146,"Eendracht, La Rochelle Girl's School, Faure Street, Paarl",,Paarl,Paarl,National Monument,-33.737430, 18.965397
9/2/069/0147,"La Brie, Paarl District",,Paarl,Paarl,Pending Declaration,,
9/2/069/0148,"Hof Street Cemetery, Berg River Boulevard, Paarl",,Paarl,Paarl,,,
9/2/069/0149,"271 Main Street, Paarl",,Paarl,Paarl,,-33.736137, 18.963006
9/2/069/0152,"39 Dirkie Uys Street, Franschhoek",,Franschhoek,Paarl,National Monument,-33.904941, 19.117712
9/2/069/0153,"42 Dirkie Uys Street, Franschhoek",,Franschhoek,Paarl,,-33.905709, 19.117706
9/2/069/0155,"48 Mill Street, Paarl",,Franschhoek,Paarl,,-33.731521, 18.958956
9/2/069/0156,"La Chaumiere, 49 Dirkie Uys Street, Franschhoek",,Franschhoek,Paarl,,-33.903296, 19.116744
9/2/069/0158,"PAARL MAGISTERIAL DISTRICT, GENERAL",,Paarl,Paarl,,,
9/2/069/0159,"L'Orleans, Dal Josafat, Paarl",,Paarl,Paarl,,,
9/2/069/0160,"Langvlei Farm, Suider Paarl, Paarl District",,Paarl,Paarl,,,
9/2/069/0162,"451 Main Street, Paarl",,Paarl,Paarl,,-33.721552, 18.963547
9/2/069/0163,"1 Church Square, 157-161 Main Street, Paarl",,Paarl,Paarl,Pending Register,-33.747721, 18.962175
9/2/069/0164,"St Stephen's Church, Erf 4856, Main Street, Paarl",,Paarl,Paarl,Pending Register,,
9/2/069/0165,"Lanquedoc, Groot Drakenstein, Paarl",,Paarl,Paarl,,-33.719522, 19.013068
9/2/069/0167,"De Poort, Main Street, Paarl",,Paarl,Paarl,,,
