SiteReference,Site_name,Description,Town,Magisterial_district,NHRA status,Latitude,Longitude
9/2/080/0001,"ROBERTSON MUNICIPAL AREA, GENERAL",,Robertson,Robertson,,,
9/2/080/0002,"McGREGOR MUNICIPAL AREA, ROBERTSON DISTRICT, GENERAL",,McGregor,Robertson,,,
9/2/080/0003,"Dwelling, Erf 275, Keerom Street, McGregor, Robertson District",,McGregor,Robertson,,,
9/2/080/0004,"Orange Grove, Norree, Robertson District",,McGregor,Robertson,,-33.743756, 19.787900
9/2/080/0007,"Old Mill Lodge, Mill Street, McGregor",,McGregor,Robertson,,-33.930969, 19.822754
9/2/080/0007/1,"Erf 644, Voortrekker Street, McGregor",,McGregor,Robertson,National Monument,,
9/2/080/0010,"""Ons Huisie"", Long Street, McGregor, Robertson District",,McGregor,Robertson,National Monument,-33.943665, 19.830547
9/2/080/0011,"Sewenfontein, Robertson District",,McGregor,Robertson,,,
9/2/080/0018,"Erf 191, Barry Street, McGregor, Robertson District",,McGregor,Robertson,National Monument,,
9/2/080/0020,"Erf 642, Smith Street, McGregor, Robertson District",,McGregor,Robertson,,,
9/2/080/0021,"Erf 625, Mill Street, McGregor, Robertson ",,McGregor,Robertson,National Monument,,
9/2/080/0022,"Nature Reserve, McGregor, Robertson District",,McGregor,Robertson,National Monument,,
9/2/080/0023,"McGregor Conservation Area, McGregor, Robertson District",,McGregor,Robertson,,,
9/2/080/0024,"Victorian Posting Box, 21 Truter Street, Robertson",,McGregor,Robertson,Pending Designation,-33.801941, 19.884401
9/2/080/0025,"Erf 23, Voortrekker Street, McGregor, Robertson District",,McGregor,Robertson,Pending,,
9/2/080/0026,"Die Ou Pasteur, Erf 55, Voortrekker Street, McGregor, Robertson",,McGregor,Robertson,,,
9/2/080/0027,"Erf 163, Office Street, McGregor, Robertson District",,McGregor,Robertson,,,
9/2/080/0028,"Erf 214, Loop Street, McGregor, Robertson District",,McGregor,Robertson,,,
9/2/080/0029,"Old Gaol, Erf 219, Long Street, McGregor, Robertson District",,McGregor,Robertson,,,
9/2/080/0030,"Erf 464, Long Street, McGregor, Robertson District",,McGregor,Robertson,,,
9/2/080/0031,"Erf 390, Long Street, McGregor, Robertson District",,McGregor,Robertson,,,
9/2/080/0032,"St  Mary's Church, Robertson",,McGregor,Robertson,,-33.769994, 19.897808
9/2/080/0036,"Block bounded by Mill, Plein, Darling & Van Reenen Streets, McGregor",,McGregor,Robertson,National Monument,-33.950251, 19.822208
9/2/080/0037,"Block bounded by Mill, Plein, Darling & Smith Streets, McGregor",,McGregor,Robertson,,-33.951481, 19.820725
9/2/080/0037/01,"Erf 605 (Ptn old Erf 8), Plein Street, McGregor",,McGregor,Robertson,National Monument,,
9/2/080/0037/02,"Erf 606 (Ptn old Erf 8), Mill Street, McGregor ",,McGregor,Robertson,,,
9/2/080/0037/03,"Erf 607 (Ptn old Erf 8), Mill Street, McGregor",,McGregor,Robertson,,,
9/2/080/0037/04,"Erf 608 (Ptn old Erf 8), Mill Street, McGregor",,McGregor,Robertson,,,
9/2/080/0037/05,"Erf 609 (Ptn old Erf 8), Smith Street, McGregor",,McGregor,Robertson,,,
9/2/080/0037/06,"Erf 610 (Ptn old Erf 8), Smith Street, McGregor",,McGregor,Robertson,,,
9/2/080/0037/07,"Erf 604 (Ptn old Erf 8), Plein Street, McGregor",,McGregor,Robertson,,,
9/2/080/0040,"Remainder of Erf 600, Bree Street, McGregor",,McGregor,Robertson,National Monument,,
9/2/080/0041,"Erf 798, Bree Street, (Ptn of Erf 600), McGregor",,McGregor,Robertson,,,
9/2/080/0042,"Erf 659, Darling Street, McGregor",,McGregor,Robertson,,,
9/2/080/0043,"Erf 601, Bree Street, McGregor",,McGregor,Robertson,,,
9/2/080/0044,"Erf 645, (Ptn of Erf 100), Voortrekker Street, McGregor",,McGregor,Robertson,National Monument,,
9/2/080/0045,"Erf 605, Plein Street, McGregor",,McGregor,Robertson,National Monument  ,,
9/2/080/0046,"Erf 606, Mill Street, McGregor",,McGregor,Robertson,,,
9/2/080/0047,"Erf 602, Darling Street, McGregor",,McGregor,Robertson,,,
9/2/080/0048,"Erf 657  Darling Street, McGregor",,McGregor,Robertson,,,
9/2/080/0050,ROBERTSON MAGISTERIAL DISTRICT GENERAL  ,,Robertson,Robertson,,,
9/2/080/0051,"14 Truter Street, Robertson",,Robertson,Robertson,,-33.803517, 19.886788
9/2/080/0052,"Erf 371 & Ptn 316 (now 476-503), cnr Long & Keerom Sts, McGregor",,McGregor,Robertson,Apply for Declaration,-33.944554, 19.834171
9/2/063/0004,"55 Long Street, Montagu",,Montagu,Montagu,National Monument,-33.788049, 20.124980
9/2/063/0005,"MONTAGU MUNICIPAL AREA, GENERAL",,Montagu,Montagu,Pending Declaration,,
9/2/063/0007,"British fort, Cogmanskloof, Montagu",,Montagu,Montagu,National Monument,,
9/2/063/0028,"MONTAGU MAGISTERIAL DISTRICT, GENERAL",,Montagu,Montagu,Pending Declaration,,
9/2/063/0029,"Montagu Cave, Farm Derdeheuwel, Montagu District",,Montagu,Montagu,,,
9/2/063/0031,"ASHTON MUNICIPAL AREA, GENERAL",,Ashton,Montagu,,,
