SiteReference,Site_name,Description,Town,Magisterial_district,NHRA status,Latitude,Longitude
9/2/084/0001,"STELLENBOSCH MUNICIPAL AREA, GENERAL",,Stellenbosch,Stellenbosch,,,
9/2/084/0002/03,"Ida Minor, Idas Valley, Stellebosch District",,Stellenbosch,Stellenbosch,National Monument,,
9/2/084/0002/18,"Wedgewood Farm, Idas Valley, Stellebosch District",,Stellenbosch,Stellenbosch,National Monument,,
9/2/084/0007,"Kromme Rhee, Koelenhof, Stellenbosch District",,Stellenbosch,Stellenbosch,National Monument,-33.872520, 18.826700
9/2/084/0009,"Stellenbosch Museum, 18 Ryneveld Street, Stellenbosch",,Stellenbosch,Stellenbosch,National Monument,-33.935410, 18.862160
9/2/084/0011,"Die Laan, Stellenbosch",,Stellenbosch,Stellenbosch,National Monument,-33.938617, 18.866761
9/2/084/0011/1,"6 Die Laan, Stellenbosch",,Stellenbosch,Stellenbosch,,-33.938502, 18.865298
9/2/084/0011/3,"22 Die Laan, Stellenbosch",,Stellenbosch,Stellenbosch,Pending Declaration,-33.938254, 18.867436
9/2/084/0011/5,"20 Die Laan, Stellenbosch",,Stellenbosch,Stellenbosch,National Monument,-33.938272, 18.867286
9/2/084/0013,"Homestead, Jonkershoek, Stellenbosch District",,Stellenbosch,Stellenbosch,National Monument,,
9/2/084/0016,Historical Trees in Stellenbosch,,Stellenbosch,Stellenbosch,National Monument,,
9/2/084/0017,"1 Herold Street, Stellenbosch",,Stellenbosch,Stellenbosch,,-33.939963, 18.852531
9/2/084/0018,"Zevenrivieren, Banhoek, Stellenbosch District",,Stellenbosch,Stellenbosch,,,
9/2/084/0022,"Leef op Hoop/Klein Gustrouw, Jonkershoek, Stellenbosch District",,Stellenbosch,Stellenbosch,National Monument,,
9/2/084/0024/1,"Pulpit, Rhenish Church, The Braak, Stellenbosch",,Stellenbosch,Stellenbosch,National Monument,-33.937915, 18.858939
9/2/084/0028,"17 Van Riebeeck Street, Stellenbosch",,Stellenbosch,Stellenbosch,National Monument,-33.936842, 18.866390
9/2/084/0029,"Gujjatul Islam Jamaah Mosque, Banhoek Road, Stellenbosch",,Stellenbosch,Stellenbosch,,-33.930598, 18.859172
9/2/084/0030,"Bergzicht Market Square, Stellenbosch",,Stellenbosch,Stellenbosch,,,
9/2/084/0031,"99 Dorp Street, Stellenbosch",,Stellenbosch,Stellenbosch,,-33.939360, 18.858260
9/2/084/0034,"21 Van Riebeeck Street, Stellenbosch",,Stellenbosch,Stellenbosch,National Monument,-33.937004, 18.867003
9/2/084/0035,"Army Club, 15 Market Street, Stellenbosch",,Stellenbosch,Stellenbosch,,-33.938896, 18.854645
9/2/084/0036,"Annandale Farm, Stellenbosch",,Stellenbosch,Stellenbosch,National Monument,-33.997071, 18.830780
9/2/084/0037,"19 Riebeeck Street, Stellenbosch",,Stellenbosch,Stellenbosch,,-33.936897, 18.866734
9/2/084/0038,"137 Dorp Street, Stellenbosch",,Stellenbosch,Stellenbosch,,-33.939026, 18.860650
9/2/084/0040,"17 Market Street, Stellenbosch",,Stellenbosch,Stellenbosch,Register,-33.939140, 18.854331
9/2/084/0042,"34 Church Street, Stellenbosch",,Stellenbosch,Stellenbosch,,-33.937888, 18.862086
9/2/084/0043,"36 Church Street, Stellenbosch",,Stellenbosch,Stellenbosch,,-33.937873, 18.862226
9/2/084/0044,"Kromme Rivier, Paul Kruger Street, Stellenbosch",,Stellenbosch,Stellenbosch,,-33.927719, 18.856642
9/2/084/0045,"Voet van Helderberg, Stellenbosch",,Stellenbosch,Stellenbosch,Pending Declaration,-34.035820, 18.861434
9/2/084/0047,"Bergzicht Farmstead, Stellenbosch",,Stellenbosch,Stellenbosch,National Monument,,
9/2/084/0049,"Zorgvliet West, Stellenbosch",,Stellenbosch,Stellenbosch,National Monument,-33.914589, 18.935571
9/2/084/0052,"Old College Buildings, Stellenbosch",,Stellenbosch,Stellenbosch,National Monument,,
