SiteReference,Site_name,Description,Town,Magisterial_district,NHRA status,Latitude,Longitude
9/2/083/0003,"Bridgewater Manor, Somerset West",,Somerset West,Somerset West,,-34.089732, 18.855490
9/2/083/0004,"SOMERSET WEST MUNICIPAL AREA, GENERAL",,Somerset West,Somerset West,,,
9/2/083/0005,"Helderberg College Road: Avenue of Trees, Somerset West",,Somerset West,Somerset West,,-34.060568, 18.837649
9/2/083/0006/01,"Upper Morgenster, remainder of Farm 1319, Morgenster, Somerset West",,Somerset West,Somerset West,,-34.083949, 18.884953
9/2/083/0009,"Zandvliet, Faure, Somerset West",,Somerset West,Somerset West,,,
9/2/083/0010,"Vergelegen, Somerset West",,Somerset West,Somerset West,,-34.077178, 18.861907
9/2/083/0011,"SIR LOWRY'S PASS VILLAGE, SOMERSET WEST DISTRICT, GENERAL",,Somerset West,Somerset West,,,
9/2/083/0011/2,"Old Primary School, Sir Lowry's Pass Village, Somerset West District",,Somerset West,Somerset West,,-34.120283, 18.906679
9/2/083/0013,"Old Dovecot, Farm 811, Overwacht (De Bosch/Die Bos), Somerset West District",,Somerset West,Somerset West,,,
9/2/083/0014,"Dreamer's Tavern Coach Restaurant, 51 Victoria Road, Somerset West",,Somerset West,Somerset West,,-34.086133, 18.846557
9/2/083/0015,"Dennegeur, Somerset West",,Somerset West,Somerset West,,-34.096887, 18.868762
9/2/083/0019,"Erinvale, Lourensford Road, Somerset West ",,Somerset West,Somerset West,,-34.073252, 18.888292
9/2/083/0022,"Lourens Street, Somerset West",,Somerset West,Somerset West,,-34.089695, 18.844217
9/2/083/0025,"Standard Bank Building, Main Street, Somerset West",,Somerset West,Somerset West,,-34.085576, 18.852866
9/2/083/0026,"Broadlands, Sir Lowry's Pass, Somerset West District",,Somerset West,Somerset West,,-34.123501, 18.874583
9/2/083/0027,"Quinan House, Somerset West District",,Somerset West,Somerset West,,,
9/2/083/0030,"The Old Cottage, 23 Andries Pretorius Street, Somerset West",,Somerset West,Somerset West,,-34.089405, 18.853233
9/2/083/0032,"Marina Farm, Almond Drive, Somerset West District",,Somerset West,Somerset West,,,
9/2/083/0034,"MACASSAR LOCAL AREA,GENERAL",,Somerset West,Somerset West,,,
9/2/083/0035,"The Sheikh Yusuf Kramat, Faure, Somerset West District",,Somerset West,Somerset West,,-34.064384, 18.750910
9/2/083/0036,"SOMERSET WEST MAGISTERIAL DISTRICT (Croyden, Sir Lowry's Pass, etc)",,Somerset West,Somerset West,,,
9/2/083/0037,"AECI Site, Somerset West",,Somerset West,Somerset West,,-34.086916, 18.834332
9/2/083/0038,"Fleur Du Cap, Lourensford Road, Somerset West",,Somerset West,Somerset West,,,
9/2/083/0040,"Methodist Mission Church, Somerset West",,Somerset West,Somerset West,,-34.085913, 18.849460
9/2/083/0042,"Lwandle Hostel, Somerset West Dist",,Somerset West,Somerset West,,,
9/2/083/0043,"Lourensford Estate, Lourensford Road, Erf 471, Somerset West",,Somerset West,Somerset West,,-34.071897, 18.888705
9/2/089/0001,"STRAND MUNICIPAL AREA, GENERAL",,Strand,Stellenbosch,,,
9/2/089/0004,"Old Synagogue, Westley Street, Strand",,Strand,Stellenbosch,,,
9/2/089/0005,"GORDONS BAY MUNICIPAL AREA, STRAND DISTRICT, GENERAL",,Gordon's Bay,Stellenbosch,,,
