SiteReference,Site_name,Description,Town,Magisterial_district,NHRA status,Latitude,Longitude
9/2/079/0010,"RIVERSDALE MUNICIPAL AREA, GENERAL",,Riversdale,Riversdale,Pending Declaration,,
9/2/079/0011,"Arcadia, Stilbaai, Riversdale District",,Still Bay,Riversdale,,,
9/2/079/0012,"STILL BAY MUNICIPAL AREA, RIVERSDALE DISTRICT, GENERAL",,Still Bay,Riversdale,,,
9/2/079/0013,"ALBERTINIA MUNICIPAL AREA, RIVERSDALE DISTRICT, GENERAL",,Albertinia,Riversdale,,,
9/2/079/0014,"Garcia State Forest, Riversdale District",,Riversdale,Riversdale,,-33.955942, 21.200368
9/2/079/0016,"St Matthews Anglican Church, Riversdale",,Riversdale,Riversdale,National Monument,,
9/2/079/0017,"Beach cottages, Stilbaai, Riversdale District",,Still Bay,Riversdale,Pending Declaration,,
9/2/079/0017/1,"Beach cottages, Stilbaai East, Riversdale District",,Still Bay,Riversdale,,,
9/2/079/0017/2,"Beach cottages, Stilbaai West, Riversdale District",,Still Bay,Riversdale,,,
9/2/079/0018,"RIVERSDALE MAGISTERIAL DISTRICT, GENERAL",,Riversdale,Riversdale,,,
9/2/079/0019,"GOURITSMOND MUNICIPAL AREA, GENERAL, RIVERSDALE",,Gouritsmond,Riversdale,,,
9/2/079/0020,"Fish Traps, Rein's Nature Reserve, Farm Buffelshoek 455, Riversdale",,Riversdale,Riversdale,,,
