SiteReference,Site_name,Description,Town,Magisterial_district,NHRA status,Latitude,Longitude
9/2/111/0001,"Old Cemeteries, Wynberg, Cape Town",,Wynberg,Wynberg,,,
9/2/111/0001/2,"St John's Anglican Cemetery, Wynberg, Cape Town",,Wynberg,Wynberg,,,
9/2/111/0001/3,"Garden of Remembrance, D R Church, Wynberg, Cape Town",,Wynberg,Wynberg,,-34.004632, 18.462067
9/2/111/0001/4,"Methodist Cemetery, Church Street, Wynberg",,Wynberg,Wynberg,,-34.004145, 18.466979
9/2/111/0002/50,"Chelsea Cloisters, 48 Durban Road, Wynberg",,Wynberg,Wynberg,,-34.007160, 18.462768
9/2/111/0002/60,"The Coach House and the Armory, Wolfe Street, Wynberg",,Wynberg,Wynberg,,,
9/2/111/002,"WYNBERG VILLAGE, GENERAL",,Wynberg,Wynberg,,,
9/2/111/002/1,"53-55 Waterloo Road, Wynberg, Cape Town",,Wynberg,Wynberg,,-34.008322, 18.462279
9/2/111/002/13,"10-12 Durban Road, Wynberg, Cape Town",,Wynberg,Wynberg,,-34.006791, 18.462411
9/2/111/002/18,"9 Riebeeck Street, Wynberg, Cape town",,Wynberg,Wynberg,,-34.006784, 18.462865
9/2/111/002/2,"35-43 Durban Road, Wynberg, Cape Town",,Wynberg,Wynberg,,-34.007160, 18.462766
9/2/111/002/3,"Young Lane, Wynberg, Cape Town (new terrace houses)",,Wynberg,Wynberg,,-34.005167, 18.463044
9/2/111/002/44,"Chelsea Horse, cnr Wolfe & Riebeeck Streets, Wynberg, Cape Town",,Wynberg,Wynberg,,-34.006556, 18.463372
9/2/111/002/48,"Ashley, Shirley, Ivanhoe and Mega cottages, Lonsdale Road, Wynberg",,Wynberg,Wynberg,,-34.008979, 18.462465
9/2/111/002/5,"Chelsea Corner, 59-63 Waterloo Road, Wynberg, Cape Town",,Wynberg,Wynberg,,-34.008842, 18.462169
9/2/111/002/52,"Hastings Place, Wynberg Village",,Wynberg,Wynberg,,,
9/2/111/002/54,"5 Riebeeck Street, Wynberg",,Wynberg,Wynberg,,-34.006462, 18.463169
9/2/111/002/56,"7 Mortimer Rd, Wynberg",,Wynberg,Wynberg,,-34.007895, 18.465322
9/2/111/002/61,"Forrester’s Inn, Durban Road, Wynberg",,Wynberg,Wynberg,,,
9/2/111/002/8,"1 Cornwall Place, Wynberg, Cape Town",,Wynberg,Wynberg,,-34.000710, 18.467374
9/2/111/0004,"Victoria Hospital, Wynberg, Cape Town",,Wynberg,Wynberg,,-34.012377, 18.458780
9/2/111/0005,"Eaton Rehabilitation Hospital, Main Road, Plumstead, Cape Town",,Plumstead,Wynberg,,,
9/2/111/0006,WYNBERG MUNICIPAL AREA GENERAL,,Wynberg,Wynberg,,,
9/2/111/0009,"Hout Bay Hotel, Hout Bay, Wynberg District",,Hout Bay,Wynberg,,-34.043185, 18.360574
9/2/111/0011,"HOUT BAY MUNICIPAL AREA GENERAL, WYNBERG DISTRICT",,Hout Bay,Wynberg,,,
9/2/111/0012,"""Southern Cross"", Bloemerf, Valley Road, Hout Bay, Wynberg District",,Hout Bay,Wynberg,,,
9/2/111/0014,"CONSTANTIA MUNICIPAL AREA GENERAL, WYNBERG DISTRICT",,Constantia,Wynberg,,,
9/2/111/0015/1,"Jonkershuis complex,  Groot Constantia, Constantia, Wynberg District",,Constantia,Wynberg,,-34.030659, 18.419072
9/2/111/0015/2,"Bertram wine cellar, Groot Constantia, Constantia, Wynberg District",,Constantia,Wynberg,,,
9/2/111/0015/3,"Old wine cellar, Groot Constantia, Constantia, Wynberg District",,Constantia,Wynberg,,,
9/2/111/0015/4,"Cloete cemetery, Groot Constantia, Wynberg District",,Constantia,Wynberg,,-34.016133, 18.440991
9/2/111/0015/5,"Colyn burial vault, Groot Constantia, Constantia, Wynberg District",,Constantia,Wynberg,,,
9/2/111/0015/6,"Main house, Groot Constantia, Constantia, Wynberg District",,Constantia,Wynberg,,-34.029691, 18.420806
9/2/111/0019,"Silviculturist Dwellings Nos 1 & 535, Tokai Forest, Wynberg District",,Tokai,Wynberg,,,
9/2/111/0020,"St Michael's Children's Home, Southfield , Cape Town",,Southfield,Wynberg,,-34.016752, 18.469177
9/2/111/0021,"KENILWORTH, GENERAL, CAPE TOWN",,Kenilworth,Wynberg,,,
9/2/111/0023,"""Bedford"", cnr Melbourne & Stamford Roads, Kenilworth, Cape Town",,Kenilworth,Wynberg,,-33.994814, 18.460419
9/2/111/0024,"""Sonnenhof"", Homestead Avenue, Bergvliet, Cape Town",,Bergvliet,Wynberg,,,
9/2/111/0027,"65 Bowwood Road, Claremont, Cape Town",,Claremont,Wynberg,,-33.987103, 18.453764
9/2/111/0029,"Old Masonic Temple, Main Road, Rondebosch, Cape Town",,Rondebosch,Wynberg,,,
9/2/111/0030,"Old Sasko Building, Belmont Road, Rondebosch, Cape Town",,Rondebosch,Wynberg,,,
9/2/111/0035,"Rondebosch Railway Station, Rondebosch, Cape Town",,Rondebosch,Wynberg,,-33.962200, 18.472447
9/2/111/0037,"Paradise, Ruins of Lady Anne Barnard's Cottage, Newlands, Cape Town",,Newlands,Wynberg,,,
9/2/111/0038,"Rhodes Recreation Grounds, Chapel Road, Rondebosch, Cape Town",,Rondebosch,Wynberg,,-33.953991, 18.468217
9/2/111/0039,"Glass Bottle Dump, Newlands, Cape Town",,Newlands,Wynberg,,,
9/2/111/0040,"15 Feldhausen Avenue, Claremont, Cape Town",,Claremont,Wynberg,,-33.981226, 18.459278
9/2/111/0041,"RONDEBOSCH, CAPE TOWN, GENERAL",,Rondebosch,Wynberg,,,
9/2/111/0042,"Rustenburg Girls Primary School, Rondebosch, Cape Town",,Rondebosch,Wynberg,,-33.956552, 18.478755
9/2/111/0043,"6 Glade Road, Rondebosch, Cape Town",,Rondebosch,Wynberg,,-33.964379, 18.473548
9/2/111/0045,"Church of the Good Shepherd, Kirstenbosch Drive, Bishopscourt, Cape",,Bishopscourt,Wynberg,,-33.986493, 18.436946
9/2/111/0046,"Wynberg Town Hall, Maynard Road, Maynard Road, Wynberg Cape Town",,Wynberg,Wynberg,,,
9/2/111/0047,"Michaelis House, Boys Hostel, Newlands Avenue, Newlands, Cape Town",,Newlands,Wynberg,,,
9/2/111/0051,"Wynberg Military Base, Wynberg, Cape Town",,Wynberg,Wynberg,,-34.008944, 18.461381
9/2/111/0057/1,"The Summer House, Belvedere, UCT Middle Campus, Rondebosch, Cape Town",,Rondebosch,Wynberg,,,
9/2/111/0057/2,"Arts Block, University of Cape Town, Rondebosch, Cape Town",,Rondebosch,Wynberg,,-33.958289, 18.461246
9/2/111/0058,"Highlands, 36 Tennant Road, Kenilworth, Cape Town",,Kenilworth,Wynberg,,-33.997045, 18.463492
9/2/111/0060,"Van Riebeeck's Hedge, Bishopscourt, Cape Town",,Bishopscourt,Wynberg,,,
9/2/111/0061,"NEWLANDS, GENERAL, CAPE TOWN",,Newlands,Wynberg,,,
9/2/111/0063,"RETREAT, GENERAL, CAPE TOWN",,Retreat,Wynberg,,,
9/2/111/0064,"Mostert's Mill Complex, Mowbray, Cape Town",,Mowbray,Wynberg,,,
9/2/111/0064/3,"Moster's Mill Miller's Homestead, Mowbray, Cape Town",,Mowbray,Wynberg,,,
9/2/111/0064/4,"Moster's Mill, Mowbray, Cape Town",,Mowbray,Wynberg,,,
9/2/111/0065/1,"Constantia Glen, cnr Lochner & Martin Roads, Constantia, Wynberg",,Constantia,Wynberg,,-34.023099, 18.457759
9/2/111/0067,"St. Andrews Church in the Oaks, 77 Kildare Road, Newlands, Cape Town",,Newlands,Wynberg,,-33.973897, 18.456084
9/2/111/0068,"Old Hout Bay Post Office, Main Road, Hout Bay",,Hout Bay,Wynberg,,-34.042408, 18.359147
9/2/111/0070,"Felday, 4 Erin Road, Rondebosch, Cape Town",,Rondebosch,Wynberg,,-33.960539, 18.476799
9/2/111/0072,"Groote Schuur Estate, Rondebosch, Cape Town",,Rondebosch,Wynberg,,-33.968933, 18.473721
